"Number of items show in ""You might also like"" box on product page views. This number must be between 1 and 10.","Number of items show in ""You might also like"" box on product page views. This number must be between 1 and 10."
"Personal Box","Personal Box"
"Enable Personal Box","Enable Personal Box"
"Enable ""Recommended for you"" box on product page views.","Enable ""Recommended for you"" box on product page views."
"Personal Box Layout","Personal Box Layout"
"Select where ""Recommended for you"" box should be shown on product page views.","Select where ""Recommended for you"" box should be shown on product page views."
"Personal Box Title","Personal Box Title"
"""Recommended for you"" box title on product page views.","""Recommended for you"" box title on product page views."
"Personal Box Product Count","Personal Box Product Count"
"Number of items show in ""Recommended for you"" box on product page views. This number must be between 1 and 10.","Number of items show in ""Recommended for you"" box on product page views. This number must be between 1 and 10."
"Accessories Box","Accessories Box"
"Enable Accessories Box","Enable Accessories Box"
"Enable ""You might also need"" box on product page views.","Enable ""You might also need"" box on product page views."
"Accessories Box Layout","Accessories Box Layout"
"Select where ""You might also need"" box should be shown on product page views.","Select where ""You might also need"" box should be shown on product page views."
"Accessories Box Title","Accessories Box Title"
"""You might also need"" box title on product page views.","""You might also need"" box title on product page views."
"Accessories Box Product Count","Accessories Box Product Count"
"Number of items show in ""You might also need"" box on product page views. This number must be between 1 and 10.","Number of items show in ""You might also need"" box on product page views. This number must be between 1 and 10."
"Category Page Display","Category Page Display"
"Personal Box","Personal Box"
"Enable Personal Box","Enable Personal Box"
"Enable ""Recommended for you"" box on category page views.","Enable ""Recommended for you"" box on category page views."
"Personal Box Layout","Personal Box Layout"
"Select where ""Recommended for you"" box should be shown on category page views.","Select where ""Recommended for you"" box should be shown on category page views."
"Personal Box Title","Personal Box Title"
"""Recommended for you"" box title on category page views.","""Recommended for you"" box title on category page views."
"Personal Box Product Count","Personal Box Product Count"
"Number of items show in ""Recommended for you"" box on category page views. This number must be between 1 and 10.","Number of items show in ""Recommended for you"" box on category page views. This number must be between 1 and 10."
"Top Box","Top Box"
"Enable Top Box","Enable Top Box"
"Enable ""Top Products"" box on category page views.","Enable ""Top Products"" box on category page views."
"Top Box Layout","Top Box Layout"
"Select where ""Top Products"" box should be shown on category page views.","Select where ""Top Products"" box should be shown on category page views."
"Top Box Title","Top Box Title"
"""Top Products"" box title on category page views.","""Top Products"" box title on category page views."
"Top Box Product Count","Top Box Product Count"
"Number of items show in ""Top Products"" box on category page views. This number must be between 1 and 10.","Number of items show in ""Top Products"" box on category page views. This number must be between 1 and 10."
"Search Result Page Display","Search Result Page Display"
"Recommendation Box","Recommendation Box"
"Enable Recommendation Box","Enable Recommendation Box"
"Enable ""Recommended for you"" box on search result page views.","Enable ""Recommended for you"" box on search result page views."
"Recommendation Box Layout","Recommendation Box Layout"
"Select where ""Recommended for you"" box should be shown on search result page views.","Select where ""Recommended for you"" box should be shown on search result page views."
"Recommendation Box Title","Recommendation Box Title"
"""Recommended for you"" box title on search result page views.","""Recommended for you"" box title on search result page views."
"Recommendation Box Product Count","Recommendation Box Product Count"
"Number of items show in ""Recommended for you"" box on search result page views. This number must be between 1 and 10.","Number of items show in ""Recommended for you"" box on search result page views. This number must be between 1 and 10."
